,organisation_id,organisation_name,date_lower,date_upper,host_country
401,3220,Elliptic SpaceTime (Beijing) Technology Co Ltd.,2016-01-01,,Unknown
402,3227,Chechen State University,1938-02-07,,Unknown
403,3234,Muon Space,2021-01-01,,Unknown
404,3241,"RomSpace, International Computing High School of Bucharest",2022-01-01,,Unknown
405,3248,Fucheng Satellite Factory,2020-01-01,,Unknown
406,3255,National University of Science and Technology MISiS,1918-01-01,,Unknown
407,3405,Apogeo Space,2015-01-01,,Unknown
408,3412,Regional Government of Andalusia,1978-01-01,,Unknown
409,3419,KP Labs,2016-01-01,,Unknown
410,3426,University College Dublin,1908-01-01,,Unknown
411,3433,Rogue Space Systems Corp.,2020-12-01,,Unknown
412,3484,McMaster University,1887-01-01,,Unknown
413,3619,True Anomaly Inc.,2022-01-01,,Unknown
414,3626,Astrobotic Technology Inc.,2007-01-01,,Unknown
415,3633,"Apex Space, Inc.",2022-01-01,,Unknown
416,3640,"Thales Edisoft Portugal, S.A.",2015-01-01,,Unknown
417,3647,"Land and Sea Space (Yantai) Information Technology Co., Ltd.",2022-01-01,,Unknown
418,3730,Beijing Aurora Star Tech Co. Ltd.,2020-08-01,,Unknown
419,3778,Instituto Superior Técnico Lisboa,1911-05-23,,Unknown
420,3829,"Fraunhofer Institute for High-Speed Dynamics, EMI",1959-01-01,,Unknown
421,3720,Mumei Star Technology,,,Unknown
422,1244,Alliant Techsystems,1990-01-01,,Unknown
423,1292,"NEC Toshiba Space, Fuchu",2005-01-01,,Unknown
424,1293,NEC Toshiba Space,2001-01-01,2015-05-15,Unknown
425,1294,NEC Space Technology Co. Ltd.,2015-05-15,,Unknown
426,1295,Zvezda (Star),1952-01-01,,Unknown
427,1296,NanoRacks,2008-01-01,,Unknown
428,1370,Max Valier Amateur Astronomers,2012-01-01,,Unknown
429,1371,Bulsatcom AD,2004-01-01,,Unknown
430,1372,Bulgaria Sat AD,2004-01-01,,Unknown
431,1373,D-ORBIT,2011-01-01,,Unknown
432,1374,Echostar Mobile,2015-03-01,,Unknown
433,1375,University of Applied Sciences Wiener Neustadt,1994-01-01,,Unknown
434,1376,GeoOptics Inc.,2015-01-01,,Unknown
435,1377,"Institute of Technology - Max Valier, Bozen",2012-01-01,,Unknown
436,1378,"Institute of Technology - Oskar von Miller, Meran",2012-01-01,,Unknown
437,1379,Canon Electronics Ltd.,2015-01-01,,Unknown
438,1380,Noorul Islam University,2004-01-01,,Unknown
439,1381,Russian Space Systems,2009-01-01,,Unknown
440,1382,Rocket Lab Ltd.,2009-08-01,,Unknown
441,1383,Rocket Lab USA,2017-01-01,,Unknown
442,1384,Sky and Space Global,2015-01-01,,Unknown
443,1385,Slovak Organization for Space Activities,2013-01-01,,Unknown
444,1386,"Space and Planetary Exploration Lab, University of Chile",,,Unknown
445,1387,Tyvak Nanosatellite Systems LLC,2011-01-01,,Unknown
446,1388,Montpellier 2 University,2017-01-01,,Unknown
447,1389,University College London,1826-01-01,,Unknown
448,1390,Ventspils High Technology Park,2005-01-01,,Unknown
449,1391,Aerospace Research and Test Establishment,1922-01-01,,Unknown
450,4300,Jiangsu Yinglong Satellite Tech Co. Ltd.,2020-10-23,,Unknown
451,1392,Southwest State University,1964-01-01,,Unknown
452,1393,Zhuhai Orbital Control Engineering Ltd,2015-01-01,,Unknown
453,1438,Hispamar Satélites S.A,,,Unknown
454,1439,Airbus Defense and Space (UK),2014-01-01,,Unknown
455,1492,Astrium Ltd (UK),2000-01-01,2014-01-01,Unknown
456,1493,Chungnam National University,1952-01-01,,Unknown
457,1494,Clyde Space Ltd.,2006-01-01,2018-01-01,Unknown
458,1495,Earth-i Ltd.,2013-01-01,,Unknown
459,1496,Defense Acquisition and Logistics Organization,2014-01-01,,Unknown
460,1497,Korea Aerospace University,2007-01-01,,Unknown
461,1498,Huai'an Youth Comprehensive Development Base,2010-01-01,,Unknown
462,1499,ICEYE,2015-01-01,,Unknown
463,1500,Chosun University,1946-01-01,,Unknown
464,1501,Kepler Communications Inc.,2015-01-01,,Unknown
465,1502,LuxGovSat S.A.,2016-01-01,,Unknown
466,1503,Northrop Grummann Space Technology,2002-07-01,2009-01-01,Unknown
467,4301,Xian Interstellar Cloud Network Co.,2022-08-31,,Unknown
468,1505,Pacific Scientific Energetic Materials Co.,1986-01-01,,Unknown
469,1506,Full Map Network Co.,2016-01-01,,Unknown
470,1507,Link Space Aerospace Technology,2014-01-01,,Unknown
471,1508,SpaceBEE,2017-01-01,,Unknown
472,1509,"Tesla, Inc.",2003-07-01,,Unknown
473,1510,Micro-Nano Star Space,2017-08-01,,Unknown
474,1511,Yonsei University,1885-01-01,,Unknown
475,1512,York Space Systems,2015-01-01,,Unknown
476,1513,China Junior Satellite Project,2017-01-01,,Unknown
477,1514,Astranis Space Technologies Corp.,2015-01-01,,Unknown
478,1553,Asociacion Centroamericana de Aeronautica y del Espacio,2010-05-01,,Unknown
479,1554,Bangladesh Telecommunications Regulatory Commission,2002-05-01,,Unknown
480,1557,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",,,Unknown
481,1559,Instituto Technologico de Costa Rica,1971-05-01,,Unknown
482,1563,"Analytical Space, Inc.",2016-06-06,,Unknown
483,1570,"Department of Information Technology and Telecommunications, Bhutan",2003-08-01,,Unknown
484,1574,United Launch Alliance/Decatur,2006-01-01,,Unknown
485,1584,Aichi University of Technology,1987-01-01,,Unknown
486,1587,LandSpace Technology Corporation,2015-01-01,,Unknown
487,1647,Catholic University of America,1887-01-01,,Unknown
488,1652,Li Da Education Technology Group YG,2018-01-01,,Unknown
489,1656,NASA Glenn Research Center,1999-03-01,,Unknown
490,1661,OFO Bicycle,2014-01-01,,Unknown
491,1663,Beijing Zero Gravity Lab,2015-01-01,,Unknown
492,1666,Hainan Modern Technology Group,2018-01-01,,Unknown
493,1677,Avellan Space Technology and Science,2019-01-01,,Unknown
494,1698,NRO Program A,1961-09-06,1992-12-31,Unknown
495,1699,SpaceX Seattle,2015-06-01,,Unknown
496,1701,"US Air Force Operational Test and Evaluation Center, Detachment 4",1974-01-01,,Unknown
497,1719,Watermelon Maker,,,Unknown
498,1725,Hangtian KKG Fazhang,2016-01-01,,Unknown
499,1728,Universidad del Ejercito y Fuerza Aerea Mexicanos,1975-01-01,,Unknown
500,1768,Rwanda Ministry of Trade and Industry,1962-07-01,,Unknown
501,1772,ArianeGroup,2017-07-01,,Unknown
502,1785,University of Washington,1861-11-04,,Unknown
503,1807,Ethiopian Space Science and Technology Institute,2016-10-01,,Unknown
504,1810,Hemeria,2019-04-16,,Unknown
505,1815,Federal University of Santa Catarina,1960-12-18,,Unknown
506,1819,Aurora Flight Sciences,1989-01-01,,Unknown
507,1825,"Airbus Defense and Space, Bremen",2014-01-01,,Unknown
508,1827,MDA/UK,2018-10-01,,Unknown
509,1862,Sanjiang Hangtian Xingyun Keji YG,2017-01-01,,Unknown
510,1875,Asia-Pacific Satellite Broadband Communication (Shenzhen),2019-01-01,,Unknown
511,1877,Directorate of Defence Research and Development,,,Unknown
512,1881,PLA Academy of Military Science,1958-01-01,,Unknown
513,1899,NGIS Launch Systems (Wallops),2018-06-07,,Unknown
514,1901,Ariel University,1982-01-01,,Unknown
515,1908,TriSept Corporation,1994-01-01,,Unknown
516,1918,Paraguayan Space Agency,2021-01-26,,Unknown
517,1919,ASELSAN A.S.,1975-11-14,,Unknown
518,1932,National Central University College of Science,1968-01-01,,Unknown
519,1940,Technical University of Moldova,1964-01-01,,Unknown
520,1974,Aerospace Capital LLC,2019-01-01,,Unknown
521,1977,Fukui Prefecture,1871-01-01,,Unknown
522,1979,GK Launch Services,2017-04-01,,Unknown
523,1988,Higher School of Economics,1992-01-01,,Unknown
524,1991,Bangkok Christian College,1852-09-30,,Unknown
525,1993,Technical University of Kosice,1952-01-01,,Unknown
526,1997,Aeritalia Space Systems,1969-01-01,1990-01-01,Unknown
527,2002,Hunan Hangsheng Satellite Technology Co. Ltd,2015-10-01,,Unknown
528,3721,Cryptosat,2020-01-01,,Unknown
529,1245,Alliant (Hercules),1995-03-01,2015-02-10,Unknown
530,1440,Royal Moroccan Armed Forces,1956-01-01,,Unknown
531,1515,Fudan University,1905-01-01,,Unknown
532,1555,Bangladesh Communications Satellite Company Ltd,2017-05-01,,Unknown
533,1556,"Boeing Space Center, Kent",1964-05-01,,Unknown
534,1564,Brown University,1764-05-01,,Unknown
535,1571,Academy of Rocket Motors Technology (CASC 4th Academy),1962-07-01,,Unknown
536,1575,Alliant Thiokol,2001-04-23,2015-02-10,Unknown
537,1577,Sirius Educational Center,2014-01-01,,Unknown
538,1585,"AliExpress, Alibaba Group",2010-01-01,,Unknown
539,1590,KAIST Satellite Technology Research Center,1989-08-01,,Unknown
540,1593,Aerospace Sat Optical Network Space Tech Co Ltd,2018-01-01,,Unknown
541,1648,University of Electronic Science and Technology of China,1956-01-01,,Unknown
542,1657,New Mexico Institute of Mining and Technology,1889-01-01,,Unknown
543,1662,iSky Technology s.r.o.,2016-01-01,,Unknown
544,1664,Amir Kabir University of Technology,1979-01-01,,Unknown
545,1678,OneSpace,2015-01-01,,Unknown
546,1679,NanoAvionics,2014-01-01,,Unknown
547,1681,Sanjiang hangtian jituan (Base 066),1969-08-01,,Unknown
548,1700,Tao Zhixing Education Foundation,,,Unknown
549,1702,China Electronics Technology Group Co. Ltd.,2002-03-01,,Unknown
550,1720,China Central Television,1978-05-01,,Unknown
551,1770,Shanghai ASES Spaceflight Technology Co. Ltd.,2017-01-01,,Unknown
552,1773,Arianespace SAS,2017-03-01,,Unknown
553,1776,Danish National Space Center,2005-01-01,,Unknown
554,1779,NGIS Flight Systems Group,2018-06-07,,Unknown
555,1781,Northrop Grumman Space Systems Group,2018-06-07,,Unknown
556,1784,University of Texas - El Paso,1967-01-01,,Unknown
557,1786,Russian Aerospace Forces,2015-08-01,,Unknown
558,1789,Atmospheric and Space Technology Research Associates LLC,2016-01-01,,Unknown
559,1797,NASA John F. Kennedy Space Center,1963-11-29,,Unknown
560,1808,Deya Innovation Research Institute,,,Unknown
561,1813,Kacific Broadband Satellies Ltd,2013-01-01,,Unknown
562,1816,"Xi'an Zhongke Tianta Science and Technology Co., Ltd.",2017-01-01,,Unknown
563,1820,Iran University of Science and Technology,1929-01-01,,Unknown
564,1821,"Lynk Global, Inc",2019-10-01,,Unknown
565,1824,GalaxySpace (Yinhe Hangtian),2018-01-01,,Unknown
566,1863,Sepah-e Pasdaran-e Enghelab-e Eslami (Missile Forces),1979-01-01,,Unknown
567,1878,Ministry of Internal Affairs,1946-01-01,1992-01-01,Unknown
568,1900,General Department of Remote Sensing Satellites,2020-08-10,,Unknown
569,1983,ISILaunch Services,2007-01-01,,Unknown
570,1902,Auckland Programme for Space Systems,2016-01-01,,Unknown
571,1909,Gabe Newell,2020-01-01,,Unknown
572,1920,Brigham Young University,1875-10-16,,Unknown
573,1931,Muroran Institute of Technology,1876-01-01,,Unknown
574,1936,Spire Global Luxembourg,2017-11-15,,Unknown
575,1975,AstroBerry Ltd.,2018-01-01,,Unknown
576,1978,Glavkosmos,1985-01-01,,Unknown
577,1984,King Saud University,1957-01-01,,Unknown
578,1986,LinaSpace LLC,2016-01-01,,Unknown
579,1998,Airbus Defense and Space - Intelligence,2020-01-01,,Unknown
580,2003,Jihua Laboratory,2017-01-01,,Unknown
581,2008,Hong Kong Aerospace Technology Group,2019-01-01,,Unknown
582,2027,"Robertsville Middle School, Oak Ridge",1954-09-01,,Unknown
583,2049,Libre Space Foundation,2018-01-01,,Unknown
584,2196,One Zero One Middle School,,,Unknown
585,2253,Austrian Space Forum,1999-01-01,,Unknown
586,2314,Tiandi Information Network Research Institute. (Anhui) Co.,2020-01-01,,Unknown
587,2865,Antaris Inc.,2021-01-01,,Unknown
588,2866,Ensign-Bickford Aerospace and Defense Company,1965-01-01,,Unknown
589,2867,"Norwegian Ministry of Trade, Industry and Fisheries",2014-01-01,,Unknown
590,2868,Space Norway AS,2014-01-01,,Unknown
591,2869,Statsat AS,2014-01-01,,Unknown
592,2928,Beijing Tianbing Tech. Co. Ltd (Space Pioneer),2015-01-01,,Unknown
593,2930,"Boeing SLS Operations, NASA Michoud Assembly Facility",2015-01-01,,Unknown
594,2932,"Strategic Rocket Division, Korean People's Army",2012-01-01,,Unknown
595,2934,Tomy Company Ltd.,2006-01-01,,Unknown
596,2936,Lockheed Martin Advanced Technology Center,1997-01-01,,Unknown
597,2939,Relativity Space,2015-01-01,,Unknown
598,2941,Stanford Student Space Initiative,2013-01-01,,Unknown
599,3145,AgilSpace,2012-01-01,,Unknown
600,3146,Gravity Space,2020-01-01,,Unknown
601,3147,Kenya Space Agency,2017-02-24,,Unknown
602,3154,VISIONA Tecnologia Espacial S.A. (Embraer/Telebras),2012-03-28,,Unknown
603,3207,ALIENA Pte Ltd.,2018-01-01,,Unknown
604,3214,Wyvern Inc.,2018-03-01,,Unknown
605,3221,Starfish Space,2019-01-01,,Unknown
606,3228,Podol'sk School No. 29,2000-01-01,,Unknown
607,3235,C-Space,2020-01-01,,Unknown
608,3242,Brazilian Air Force,1941-01-20,,Unknown
609,3249,Orbital ATK Flight Systems Group (FSG),2015-02-10,,Unknown
610,3256,JUSTEK Inc.,1999-11-01,,Unknown
611,3354,University of Tartu,1632-01-01,,Unknown
612,3356,Taiwan Space Agency,2023-01-01,,Unknown
613,3406,BAZOOMQ Space Research Lab,2020-01-01,,Unknown
614,3413,Hunan University of Science and Technology,1949-08-18,,Unknown
615,3420,Kanazawa University,1949-05-31,,Unknown
616,3427,SpaceIn Sdn. Bhd.,2020-08-01,,Unknown
617,3485,Concordia University,1974-01-01,,Unknown
618,3620,Space One Co. Ltd.,2018-07-02,,Unknown
619,3627,Missouri University of Science and Technology,1870-01-01,,Unknown
620,3634,Iran Electronics Industries,1972-01-01,,Unknown
621,3641,Advanced Engineering Services Co. Ltd.,1986-04-01,,Unknown
622,3648,"Oriental Spaceport (Shandong) Development Group Co., Ltd.",2020-01-01,,Unknown
623,3731,Nanjing Xinda Satellite Applications Research Inst.,2018-08-10,,Unknown
624,3779,Orbital Matter,2022-07-27,,Unknown
625,3830,Inovor Technologies,2012-08-01,,Unknown
626,3838,Space Rickshaw,2024-01-01,,Unknown
627,3878,Zhangye Constellation Space Tech. Co. Ltd.,2024-01-18,,Unknown
628,1236,Airbus Defense and Space,2014-01-01,,Unknown
629,1237,Airbus Defense and Space Satellites/Barajas (CASA Espacio),2014-01-01,,Unknown
630,1246,Beijing Bayi School,,,Unknown
631,1441,Sharif University of Technology,1966-01-01,,Unknown
632,1443,Terra Bella (Planet),2017-04-01,,Unknown
633,1516,Swarm Technologies,2009-01-01,,Unknown
634,1558,"European Commission DG-GROW Directorate I/2, Copernicus Unit",2014-05-01,,Unknown
635,1560,KB Omsk Aviatsionniy Zavod,1965-05-01,,Unknown
636,1562,University of Nairobi,1970-05-01,,Unknown
637,1565,Colorado State University,1870-06-06,,Unknown
638,1572,UK Space Operations Centre,2016-01-01,,Unknown
639,1573,MARA University of Technology,1956-01-01,,Unknown
640,1576,Helios Wire,2016-09-01,,Unknown
641,1586,Guodian HiTech Technology,2018-01-01,,Unknown
642,1591,Kawasaki Heavy Industries Aerospace Company,1954-03-01,,Unknown
643,1594,Ministry of Natural Resources,2018-03-19,,Unknown
644,1649,Firmamentum,2015-01-01,,Unknown
645,1653,Luhan Studio,2018-01-01,,Unknown
646,1654,Maowang,2016-01-01,,Unknown
647,1658,North Idaho STEM Charter Academy,,,Unknown
648,1665,Defense Research and Development Organization India,1958-01-01,,Unknown
649,1680,NanoAvionics US,,,Unknown
650,1703,Amur State University,1975-03-20,,Unknown
651,1707,Ecliptic Enterprises,2001-01-01,,Unknown
652,1721,AO Kontsern VKO Almaz-Antey,2002-01-01,,Unknown
653,1722,United Arab Emirates Armed Forces,1951-01-01,,Unknown
654,1771,SpaceBD Corp.,2017-09-01,,Unknown
655,1774,Berlin Space Technologies GmbH,2014-01-01,,Unknown
656,1777,Dawan District Institute of Integrated Circuit and System Applications,2018-01-01,,Unknown
657,1811,Hera Systems Inc.,2013-01-01,,Unknown
658,1814,Tyvak International,2018-01-01,,Unknown
659,1818,China Sat space remote sensing (Jiangsu) SatTech Co Ltd,,,Unknown
660,1822,Northrop Grumman Civil Satellites and National Security Systems,2018-06-07,,Unknown
661,1823,"RUAG Space, Zurich",2009-07-01,,Unknown
662,1864,Boston University,1839-01-01,,Unknown
663,1868,Virgin Orbit,2017-01-01,,Unknown
664,1879,PlanetiQ,2012-01-01,,Unknown
665,1903,Beijing University of Aeronautics and Astronautics,1952-10-25,,Unknown
666,1905,Kleos Space S.A.,2017-04-01,,Unknown
667,1910,University of Georgia,1785-01-27,,Unknown
668,1921,"Aeronomy Service, CNRS",2009-01-01,,Unknown
669,1923,Carnegie Mellon University,1900-01-01,,Unknown
670,1927,National Taiwan Ocean University,1953-01-01,,Unknown
671,1929,Jeppiaar Institute of Technology,2011-01-01,,Unknown
672,1935,Space AI Inc.,2018-01-01,,Unknown
673,1939,Tel Aviv University,1956-01-01,,Unknown
674,1942,University of South Florida,1956-12-18,,Unknown
675,1976,Diysatellite,2013-04-01,,Unknown
676,1981,Korea Aerospace Industries,1999-01-01,,Unknown
677,1994,Care Weather Technologies,2020-01-01,,Unknown
678,1999,"Celestis, Inc. (SSI)",1994-01-01,,Unknown
679,2004,Shandong Insitute of Industrial Technology,2019-05-20,,Unknown
680,2929,Beijing Comsat Technology Development Co. Ltd.,2015-06-01,,Unknown
681,2931,Korean People's Army,1948-02-08,,Unknown
682,2933,PIESAT Information Technology Co. Ltd.,2008-01-24,,Unknown
683,2935,Leidos,1969-02-01,,Unknown
684,2937,OATK / ATK Aerospace Group Headquarters,2015-02-10,2018-06-07,Unknown
685,2938,OATK Launch Systems (Wallops),2015-02-10,2018-06-07,Unknown
686,2940,"Sharjah Academy of Astronomy, Space Science and Technology, U of Sharjah",2015-05-01,,Unknown
687,2942,Team Miles,2020-01-01,,Unknown
688,3148,Qosmosys,2020-01-01,,Unknown
689,3155,Unversity of Turkish Aeronautical Association,2011-02-17,,Unknown
690,3208,"State Key Lab, China University of Mining and Technology",1909-01-01,,Unknown
691,3215,R2 Space,2019-01-01,,Unknown
692,3222,OOO Stratonavtika,2011-01-01,,Unknown
693,3229,Kuban State Technical University,1918-01-01,,Unknown
694,3236,STAR.VISION Aerospace Group Ltd.,2021-03-31,,Unknown
695,3243,EchoStar XXIII License Sub Ltd,2019-05-24,,Unknown
696,3250,Special Technology Center,2001-06-04,,Unknown
697,3257,Small Space Systems,2022-07-19,,Unknown
698,3355,U-Space,2018-01-01,,Unknown
699,3357,Beyond Gravity Austria,2022-05-01,,Unknown
700,3407,CONTEC Corp.,2015-01-05,,Unknown
701,3414,Hydra Space,2021-01-01,,Unknown
702,3421,"Beijing Zhiyi Aerospace Technology Co., Ltd",2016-10-12,,Unknown
703,3428,University of Toronto Aerospace Team,2004-01-01,,Unknown
704,3458,Terran Orbital,2013-01-01,,Unknown
705,3479,Yukon University,1988-01-01,,Unknown
706,3486,German Space Operations Centre,1969-01-01,,Unknown
707,3510,Nikon USA,1946-01-01,,Unknown
708,3621,Space Machines Company Pty Ltd.,2019-01-01,,Unknown
709,3628,Iranian Space Research Center,2000-01-01,,Unknown
710,3635,ONDO Space LLC,2022-01-01,,Unknown
711,3642,CEiiA,1999-01-01,,Unknown
712,3649,Deep Space Exploration Laboratory Anhui Province,2020-01-01,,Unknown
713,3655,Blue Origin LLC,2000-09-08,,Unknown
714,3722,Kineis,2018-01-01,,Unknown
715,3732,Beijing Joint Aerospace Tech Co. Ltd.,2021-12-31,,Unknown
716,3780,Planetary Transportation Systems GmbH,2009-06-24,,Unknown
717,3822,AVS Added Value Solutions,2006-01-01,,Unknown
718,3831,"Mohammed V University, Rabat",1957-12-21,,Unknown
719,3839,SmartSat Cooperative Research Centre,2019-01-01,,Unknown
720,3879,Zhongke Satellite Tech. Group (AIRSAT),2020-12-01,,Unknown
721,1444,Asgardia Space,2016-01-01,,Unknown
722,1447,German Orbital Systems GmbH,2015-01-01,,Unknown
723,1452,NWNAZ,2017-10-01,,Unknown
724,1453,Telesat Canada (Loral),2007-10-05,,Unknown
725,1517,Thales Alenia Space/Roma (TAS-R),2007-04-10,,Unknown
726,1561,Orbital ATK Space Systems Group (SSG),2015-02-10,,Unknown
727,1566,EnduroSat,2015-01-01,,Unknown
728,1568,Rowan University,1923-06-06,,Unknown
729,1578,University of California Los Angeles,,,Unknown
730,1583,Ryman Sat Project,,,Unknown
731,1588,Belarusian State University,1921-10-30,,Unknown
732,1589,ADA Space (Guoxing Aerospace Tech Co.),2018-05-01,,Unknown
733,1650,Huami Technology,,,Unknown
734,1659,University of Illinois Urbana-Champaign,1867-01-01,,Unknown
735,1667,Astro Live Experiences Co. Ltd.,,,Unknown
736,1669,Space Kidz India,2016-01-01,,Unknown
737,1682,Akademia Gorniczo-Hutnicza im. Stanislawa Stazica,1919-04-08,,Unknown
738,1693,Satellite Applications Catapult,2013-01-01,,Unknown
739,1694,Twiggs Space Lab,2016-01-01,,Unknown
740,1704,Magellan Aerospace Corporation,1996-01-01,,Unknown
741,1705,Bristol Aerospace,1930-01-01,,Unknown
742,1706,Exolaunch,2019-01-21,,Unknown
743,1716,Radio Amateur Society of Thailand,1963-08-22,,Unknown
744,1723,Beijing Institute of Technology,1940-09-01,,Unknown
745,1724,Beijing Interstellar Glory Space Technology Ltd.,2016-10-01,,Unknown
746,1727,TsNII Khimii i Mekhaniki,1969-01-01,,Unknown
747,1775,Collins Aerospace,2018-11-26,,Unknown
748,1778,United Rocket Space Corporation,2014-03-04,2016-01-01,Unknown
749,1780,Northrop Grumman Innovation Systems,2018-06-07,,Unknown
750,1792,Japan Space Systems,2012-03-01,,Unknown
751,1795,Universidad Popular Autonoma del Estado de Puebla,1973-05-07,,Unknown
752,1798,"Ministry of Economy, Trade and Industry",2001-01-01,,Unknown
753,1801,Stara Space,2018-01-01,,Unknown
754,1812,"QPS Laboratories Co, Ltd.",2015-01-01,,Unknown
755,1826,MDA Satellite Systems,2005-01-01,2017-10-01,Unknown
756,1865,Planetary Systems Corporation,1998-01-01,,Unknown
757,1880,Unit 9900,,,Unknown
758,1904,Centre for the Development of Industrial Technology,1977-09-13,,Unknown
759,1906,Office of National Intelligence,2018-12-20,,Unknown
760,1911,Galactic Energy Co.,2018-02-01,,Unknown
761,1922,Capitol Technology University,1927-01-01,,Unknown
762,1924,National Scientific Research Council (France),1939-10-19,,Unknown
763,1938,US Air Force Space Division Houston,2019-12-20,,Unknown
764,1941,Versailles Saint-Quentin-en-Yvelines University,1991-07-22,,Unknown
765,1980,GP Advanced Projects srls,2013-01-01,,Unknown
766,1987,Myanmar Aerospace Engineering University,2002-01-01,,Unknown
767,1990,RUS Telnet LLC,2018-01-01,,Unknown
768,1992,Sateliot,2018-01-01,,Unknown
769,2000,Department of Commerce,1903-01-01,,Unknown
770,2005,Shandong Province Government,1945-01-01,,Unknown
771,2009,Zhongan Guotong Satellite Technology Development Co,2016-01-01,,Unknown
772,3149,Sayari Labs,2020-01-01,,Unknown
773,3209,ANO FIRON,2016-01-01,,Unknown
774,3216,Varda Space Industries,2020-11-01,,Unknown
775,3223,"Beijing Sixiang Aishu Technology Co., Ltd.",2017-06-19,,Unknown
776,3230,Neuro-Master,2019-11-01,,Unknown
777,3237,"Dicastery for Communication, Vatican",2015-06-27,,Unknown
778,3244,Henan Polytechnic University,1909-01-01,,Unknown
779,3251,Bureau 1440,2020-01-01,,Unknown
780,3358,Shanghai Spacecom Satellite Technology Ltd.,2020-01-01,,Unknown
781,3408,Djibouti Center for Studies and Research,1979-01-01,,Unknown
782,3415,Impulse Space Propulsion,2021-01-01,,Unknown
783,3422,Nara Space Technology,2015-03-01,,Unknown
784,3429,"Shanghai Lanjian Hongqing Technology Co., Ltd.",2017-01-01,,Unknown
785,3459,AZSPACE (Ziwei Technology),2018-12-01,,Unknown
786,3480,University of Western Ontario,1878-03-17,,Unknown
787,3487,Qinetiq,2001-07-01,,Unknown
788,3622,NorthStar Earth & Space Inc.,2015-01-01,,Unknown
789,3629,Atomos Space,2018-01-01,,Unknown
790,3636,Naval Information Warfare Center Pacific,2019-02-18,,Unknown
791,3643,"Jinan Zhixing Space Technology Co., Ltd.",2018-01-01,,Unknown
792,3723,Maxar Intelligence,2023-03-05,,Unknown
793,3781,University of Kansas,1864-03-21,,Unknown
794,3823,Aethero Space,2023-01-01,,Unknown
795,3832,"Ministry of Communication and Informatics, Indonesia",2001-08-09,,Unknown
796,3840,Swedish Defense Research Agency,2001-01-01,,Unknown
797,3872,The Chine University of Hong Kong,1963-10-17,,Unknown
798,1445,Astroscale Japan Inc.,2015-01-01,,Unknown
799,1446,Embry-Riddle Aeronautical University,1965-01-01,,Unknown
800,1451,Northwest Nazarene University,1913-01-01,,Unknown
801,1455,Vanderbilt University,1873-01-01,,Unknown
802,1518,Alpha Space,2015-01-01,,Unknown
803,1567,Ohio State University,1870-06-06,,Unknown
804,1569,University of Iowa,1964-06-06,,Unknown
805,1579,University of Central Florida,,,Unknown
806,1580,Beijing Future Navigation Technology Co. Ltd.,,,Unknown
807,1582,ExPace Technology Corporation,,,Unknown
808,1592,"LandSpace Technology, Huzhou Factory",2015-01-01,,Unknown
809,1651,LCF Enterprises,1986-01-01,,Unknown
810,1655,Mitsubishi Heavy Industries (Launch Services),1964-01-01,,Unknown
811,1660,West Virginia University,1867-01-01,,Unknown
812,1668,Qingteng University,2015-01-01,,Unknown
813,1683,Arthur C. Clarke Institute for Modern Technologies,1984-01-01,,Unknown
814,1685,Swedish Defense Materiel Adminstration,1968-07-01,,Unknown
815,1689,Orbital Micro Systems,2015-01-01,,Unknown
816,1692,SatRevolution S.A.,2016-01-01,,Unknown
817,1708,General Atomics,1955-07-18,,Unknown
818,1726,Secreteria de la Defensa Nacional,1934-01-01,,Unknown
819,1782,University of Minnesota,1851-02-25,,Unknown
820,1783,Lizheng Satellite Application Technology Co. Ltd.,2012-11-01,,Unknown
821,1828,Universidad del Valle de Guatemala,1966-01-01,,Unknown
822,1866,Satlantis,2014-09-01,,Unknown
823,1882,American University of Ras Al Khaimah,2009-01-01,,Unknown
824,1890,Royal Thai Air Force,1913-11-02,,Unknown
825,1907,Ohio University,1804-02-18,,Unknown
826,1912,York University,1959-01-01,,Unknown
827,1925,Department of Energy,1977-08-04,,Unknown
828,1982,Hokkaido University,1876-09-01,,Unknown
829,1985,Konkoly Observatory,1871-01-01,,Unknown
830,1989,TELNET Holding,1994-01-01,,Unknown
831,2001,Gengyu Muxing Space Tech. Co. Ltd.,2011-03-01,,Unknown
832,2006,Shenzhen Origin Space Tech. Co. Ltd.,2019-03-01,,Unknown
833,3150,Smithsonian Astrophysical Observatory,1890-03-01,,Unknown
834,3210,China Power Investment New Agricultural Innovation Technology Co.,2000-01-01,,Unknown
835,3217,Azista BST Aerospace Pvt. Ltd.,2019-01-01,,Unknown
836,3224,Suzhou Skyscanner Space Technology Co Ltd,2000-01-01,,Unknown
837,3231,Satellite Vu,2016-01-01,,Unknown
838,3238,Lumir Inc.,2009-01-01,,Unknown
839,3245,Harbin Gongda Satellite Tech. Co Ltd.,2020-12-01,,Unknown
840,3252,Guangxi University,1928-01-01,,Unknown
841,3359,"Amazon.com, Inc.",1994-07-05,,Unknown
842,3409,Exotrail,2015-01-01,,Unknown
843,3416,Instituto de Astrofisica de Canarias (IAC),1975-01-01,,Unknown
844,3423,National Polytechnic University of Armenia,1933-01-01,,Unknown
845,3430,Promethee Earth Intelligence,2020-01-01,,Unknown
846,3460,Aerospace Tianmu Satellite Tech. Co. Ltd.,2018-05-07,,Unknown
847,3481,University of Saskatchewan,1907-03-19,,Unknown
