international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1999-025CAT,31637.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-23T10:14:58.543872
1999-025CAZ,31643.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-03-10T10:24:55.154880
1999-025CBD,31647.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-08-24T10:42:10.084320
1999-025CBK,31653.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2021-08-25T11:10:39.383040
1999-025CBU,31662.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2010-08-09T17:31:25.051584
1999-025CCA,31668.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-05-02T16:53:11.357952
1999-025CCC,31670.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-03-24T10:11:16.787040
1999-025CCD,31671.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2011-04-16T06:54:30.040416
1999-025CCH,31675.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-10T21:15:14.254560
1999-025CCJ,31676.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2018-08-27T09:06:45.905472
1999-025CCK,31677.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2008-09-12T19:16:11.608032
1999-025CCM,31679.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2023-05-22T15:47:16.381536
1999-025CCR,31683.0,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-08-18T23:18:14.363712
