International Designator,NORAD Catalog Number,Satellite Name,Source,Launch Date,Launch Site,Object Type,Last Data
1999-025DDW,33637,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-05T22:03:36.097920
1999-025DDY,33639,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-12-29T23:06:30.148416
1999-025DEA,33641,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2009-07-17T21:30:42.310656
1999-025DEF,33646,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-09-17T01:05:34.262880
1999-025DEG,33647,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-08T12:04:27.415776
1999-025DFN,33677,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2011-09-26T10:25:43.106016
1999-025DFX,33686,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-09-14T22:05:41.346816
1999-025DGC,33691,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-01-19T02:24:47.895840
1999-025DGJ,33697,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-14T00:55:22.384992
1999-025DGR,33704,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2011-09-20T22:42:21.326688
1999-025DHB,33714,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2022-08-24T04:30:59.329152
1999-025DHH,33720,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-05T20:53:46.055616
1999-025DHX,33734,FENGYUN 1C DEB,PRC,1999-05-10,TAISC,DEB,2024-10-08T07:19:52.793760
1965-108CX,34164,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2018-08-03T13:58:55.462368
1965-108CY,34165,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2021-10-15T08:35:38.550048
1965-108CZ,34166,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2011-11-09T09:44:59.328672
1965-108DA,34167,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2018-07-07T05:30:32.311296
1965-108DB,34168,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2010-12-04T22:56:00.174048
1965-108DC,34169,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-08-16T06:13:44.215392
1965-108DD,34170,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2022-11-16T05:53:39.730272
1965-108DE,34171,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2016-04-28T11:36:53.375040
1965-108DF,34172,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2023-07-31T10:02:37.683744
1965-108DG,34173,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2022-12-17T05:57:02.423808
1987-011F,34175,COSMOS 1818 COOLANT,CIS,1987-02-01,TYMSC,DEB,2024-05-09T10:29:23.955648
1987-011G,34176,COSMOS 1818 COOLANT,CIS,1987-02-01,TYMSC,DEB,2022-10-08T22:25:27.253344
1987-011H,34177,COSMOS 1818 COOLANT,CIS,1987-02-01,TYMSC,DEB,2014-05-29T03:01:42.955968
1992-041K,34181,ARIANE 44L DEB,FR,1992-07-09,FRGUI,DEB,2024-10-23T22:42:20.192256
1992-072R,34185,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2021-12-06T01:07:39.934272
1992-072S,34186,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2024-09-13T19:09:17.817696
1992-072T,34187,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2012-10-25T23:39:24.428160
1992-072X,34191,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2021-06-13T07:37:58.073664
1992-072Z,34193,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2024-06-24T01:34:01.787808
1992-072AC,34196,ARIANE 42P+ DEB,FR,1992-10-28,FRGUI,DEB,2024-02-20T02:50:30.909120
1997-070L,34201,SL-12 DEB,CIS,1997-11-12,TYMSC,DEB,2013-08-11T12:57:41.395680
1997-070M,34202,SL-12 DEB,CIS,1997-11-12,TYMSC,DEB,2016-11-06T05:45:24.217632
2006-006AP,34224,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-08-12T18:41:06.375264
2006-006AR,34226,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-12-16T12:42:19.825632
2006-006AS,34227,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2022-02-19T04:02:37.035744
2006-006AT,34228,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2011-12-11T22:50:51.578304
2006-006AU,34229,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-04-05T12:47:49.309440
2006-006AW,34231,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2023-11-07T12:29:51.718272
2006-006AX,34232,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2010-09-11T05:31:36.418368
2006-006AY,34233,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2021-12-17T18:06:59.749344
2006-006AZ,34234,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2023-07-10T01:03:56.725056
2006-006BB,34236,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-06-12T03:30:03.254400
2006-006BC,34237,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2014-08-19T05:01:32.193696
2006-006BD,34238,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2023-10-11T10:41:45.872448
2006-006BE,34239,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-10-08T01:51:23.880672
2006-006BH,34242,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-10-18T03:35:25.048608
2006-006BJ,34243,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-08-25T04:30:56.676672
2006-006BL,34245,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2013-03-27T12:29:28.765248
2006-006BM,34246,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2021-10-08T22:35:40.069536
2006-006BN,34247,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-02-15T03:49:01.240032
2006-006BV,34254,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2024-02-19T03:45:20.879424
2006-006BW,34255,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2021-09-14T02:37:52.324032
2006-006BX,34256,BREEZE-M DEB,CIS,2006-02-28,TYMSC,DEB,2022-12-25T00:52:55.770240
