International Designator,NORAD Catalog Number,Satellite Name,Source,Launch Date,Launch Site,Object Type,Last Data
1993-036ASS,35796,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-11-05T23:34:35.734656
1997-051TL,35860,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2012-03-22T13:02:02.841216
1993-036ATX,35884,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-10-01T15:08:13.833888
1993-036AUA,35887,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2023-01-30T23:25:27.809184
1997-051TQ,35907,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2009-10-31T22:24:04.163328
1997-051TR,35908,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2011-05-05T07:18:44.593920
1997-051UF,35922,IRIDIUM 33 DEB,US,1997-09-14,TYMSC,DEB,2022-11-06T19:41:28.059360
1993-036AUW,35956,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-05-07T10:07:45.436224
1993-036AVC,35962,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2024-03-15T23:35:00.496896
1993-036AVG,35966,COSMOS 2251 DEB,CIS,1993-06-16,PLMSC,DEB,2023-04-24T16:50:52.088928
